city,lat,lng,pop,province
Dingzhou,38.50042645,114.9999983,152934,Hebei
Nangong,37.37039207,115.3700016,82386,Hebei
Linqing,36.85039797,115.6800085,110046,Hebei
Xiangtai,37.04997235,114.5000288,611739,Hebei
Puyang,35.70039064,114.9799996,666322,Henan
Hebi,35.95037539,114.2200459,244662,Henan
Xuchang,34.02038983,113.8200187,449258,Henan
Zhoukou,33.63041363,114.6300468,377061,Henan
Dengzhou,32.68036826,112.0800215,59338,Henan
Tieling,42.30037539,123.8199768,336953.5,Liaoning
Chaoyang,41.55042116,120.4199776,440150.5,Liaoning
Huanren,41.25633059,125.3459818,91384,Liaoning
Zhuanghe,39.6822923,122.9618896,170947,Liaoning
Yishui,35.79043683,118.6199841,94115,Shandong
Shanxian,34.79042035,116.0799841,74459,Shandong
Pingyi,35.51042808,117.6200451,78254,Shandong
Pingdu,36.79037579,119.9400069,91077,Shandong
Laiwu,36.2004118,117.6600427,124108,Shandong
Buizhou,37.37039207,118.0200207,115893,Shandong
Liaocheng,36.4304236,115.9700166,226930,Shandong
Rizhao,35.43038129,119.4500109,555693.5,Shandong
Dezhou,37.45041302,116.3000223,379555,Shandong
Linchuan,27.97034568,116.3600187,241104,Jiangxi
Fengcheng,28.20040916,115.7700288,61469,Jiangxi
Jian,27.13042279,114.9999983,490221,Jiangxi
Shangrao,28.47039268,117.9699979,922421.5,Jiangxi
Jingdezhen,29.27042137,117.1800203,383931.5,Jiangxi
Taizhou,32.4904057,119.9000093,612356,Jiangsu
Shuyang,34.12986635,118.7733597,1770000,Jiangsu
Lianyungang,34.60043194,119.170028,715600,Jiangsu
Lishui,28.45041974,119.9000093,135861.5,Zhejiang
Jiaojing,28.6804057,121.4499922,471152,Zhejiang
Quzhou,28.97043968,118.8699947,226108,Zhejiang
Fuyu,45.18038047,124.8200191,247804.5,Jilin
Dunhua,43.35049217,128.2200183,170357,Jilin
Nongan,44.43040041,125.1700752,141482,Jilin
Taonan,45.33042299,122.7800402,114715,Jilin
Liuhe,42.27885215,125.7173287,67956.5,Jilin
Huinan,42.62293968,126.2614298,43261.5,Jilin
Panshi,42.94263592,126.0561193,83208,Jilin
Jiaohe,43.71628379,127.3459631,90420,Jilin
Linjiang,41.83634686,126.9359623,76732,Jilin
Wangqing,43.32478314,129.7343444,79825,Jilin
Helong,42.53475384,129.0043632,83032.5,Jilin
Shulan,44.40910972,126.9487264,78092,Jilin
Jiutai,44.14473309,125.8443493,190257,Jilin
Alxa Zuoqi,38.83901044,105.6686299,56387,Nei Mongol
Linxi,43.51707115,118.0333016,679,Nei Mongol
Kailu,43.58373374,121.1999816,2809,Nei Mongol
Bairin Zuoqi,43.98370933,119.1833606,48540,Nei Mongol
Yitulihe,50.65162274,121.5166548,19645,Nei Mongol
Yakeshi,49.28041445,120.7300362,107047,Nei Mongol
Bugt,48.78380393,121.9333736,17457,Nei Mongol
Wuyuan,41.08962242,108.2721919,30057,Nei Mongol
Bayan Obo,41.76764305,109.9711063,27476,Nei Mongol
Fengzhen,40.45469993,113.1443493,85809,Nei Mongol
Suihua,46.63042116,126.9799906,250903,Heilongjiang
Shuangyashan,46.67041872,131.3500081,5.00E+05,Heilongjiang
Shangzhi,45.22042971,127.9700077,89699.5,Heilongjiang
Fujin,47.2703821,132.019993,80092.5,Heilongjiang
Yian,47.88039654,125.2999898,39924,Heilongjiang
Tailai,46.3903583,123.409976,71307.5,Heilongjiang
Longjiang,47.34040367,123.1800158,87115,Heilongjiang
Gannan,47.92036826,123.5100215,46854.5,Heilongjiang
Hailun,47.45042279,126.9300195,104848.5,Heilongjiang
Mishan,45.55038373,131.8800016,80459,Heilongjiang
Tieli,46.95037579,128.0500028,109228.5,Heilongjiang
Shuangcheng,45.35034426,126.2799816,118525,Heilongjiang
Zhaodong,46.08042889,125.98,167193,Heilongjiang
Lanxi,46.2663607,126.2759509,67011,Heilongjiang
Keshan,48.02633079,125.8659501,72403,Heilongjiang
Nancha,47.13635927,129.285948,104570.5,Heilongjiang
Xinqing,48.23634381,129.5059346,42617.5,Heilongjiang
Hulin,45.76902671,132.9922334,42559,Heilongjiang
Boli,45.75636599,130.5759468,83317,Heilongjiang
Ningan,44.33133669,129.4659371,54636,Heilongjiang
Jyekundo,33.01662681,96.73330969,16500,Gansu
Liuzhou,24.28000246,109.2500134,1436030.5,Guangxi
Xingyi,25.09041811,104.8900211,539536,Guizhou
Anshun,26.25039899,105.9300093,600468,Guizhou
Zunyi,27.70002626,106.9200264,657646,Guizhou
Wanzhou,30.81999086,108.4000394,1680000,Chongqing
Huaibei,33.95036826,116.7500207,908019.5,Anhui
Wuhu,31.3504236,118.3699735,658762,Anhui
Luan,31.75034751,116.4800114,1408227.5,Anhui
Bengbu,32.94999005,117.330037,735324,Anhui
Anqing,30.49995872,117.0500024,469579,Anhui
Foshan,23.03005292,113.1200097,785174,Guangdong
Nagchu,31.48000226,92.05002966,2250,Xizang
Nyingchi,29.53329938,94.41670691,55,Xizang
Chamdo,31.16668805,97.23327917,93140,Xizang
Korla,41.72999676,86.15002803,192919,Xinjiang Uygur
Kuqa,41.72774884,82.93637406,89802,Xinjiang Uygur
Tacheng,46.75002626,82.95001664,49796,Xinjiang Uygur
Shihezi,44.29996909,86.02993201,572977,Xinjiang Uygur
Karamay,45.58994204,84.8599259,108769,Xinjiang Uygur
Aksu,41.15000633,80.25002641,309704.5,Xinjiang Uygur
Sanya,18.25910454,109.5040317,253721,Hainan
Haikou,20.05000226,110.3200256,1606808.5,Hainan
Hanzhong,33.12997906,107.0299939,145986,Shaanxi
Baoji,34.38000612,107.1499865,8.00E+05,Shaanxi
Tongchuan,35.07998924,109.0299751,252930.5,Shaanxi
Linfen,36.08034161,111.520004,533283,Shanxi
Yuci,37.68039899,112.7300077,537964.5,Shanxi
Datong,40.08001996,113.2999987,1462839,Shanxi
Jianmen,30.65005292,113.1600073,937875,Hubei
Yichang,30.69997235,111.2800187,675862.5,Hubei
Xiantao,30.3704059,113.4400419,897703,Hubei
Macheng,31.17999473,115.0300223,126366,Hubei
Huangshi,30.22000165,115.0999922,688090,Hubei
Zhuzhou,27.82999249,113.1500337,894679,Hunan
Yongzhou,26.23037437,111.6199979,700180.5,Hunan
Yiyang,28.60041058,112.3300321,777304,Hunan
Changde,29.02999676,111.6800459,993390,Hunan
Shaoyang,26.99999147,111.2000752,45617,Hunan
Leshan,29.56709576,103.7333475,655738.5,Sichuan
Panzhihua,26.5499931,101.7300073,446298,Sichuan
Fulin,29.35000307,102.7167171,1049,Sichuan
Guangyuan,32.42999595,105.870013,325400,Sichuan
Luzhou,28.87998008,105.380017,1537000,Sichuan
Yibin,28.7699868,104.5700406,572055.5,Sichuan
Zhaotang,27.32038535,103.720015,459200,Yunnan
Lijiang,26.80000368,100.2665824,18445,Yunnan
Yuxi,24.37999636,102.5700077,250077,Yunnan
Dali,25.70001914,100.1799727,145362.5,Yunnan
Qinhuangdao,39.93036501,119.6200264,881359,Hebei
Langfang,39.5203642,116.6799991,694465.5,Hebei
Zhangjiakou,40.83000002,114.9299768,802820.5,Hebei
Tangshan,39.62433718,118.194377,1737974.5,Hebei
Anyang,36.07997988,114.3500122,834064.5,Henan
Jiaozuo,35.2500047,113.2200036,687270,Henan
Kaifeng,34.85000327,114.3500122,872000,Henan
Shangqiu,34.45041526,115.6500362,967109,Henan
Pingdingshan,33.73040753,113.2999987,849000,Henan
Xinyang,32.130376,114.0699776,1411944,Henan
Xinxiang,35.32043968,113.8699898,823300.5,Henan
Luoyang,34.67998781,112.4700752,1552790.5,Henan
Liaoyang,41.27999839,123.1800158,740945,Liaoning
Dandong,40.14360781,124.3935852,750986.5,Liaoning
Yingkow,40.67034568,122.2800191,693079.5,Liaoning
Jinzhou,41.12036989,121.1000394,780134.5,Liaoning
Fuxin,42.0104706,121.6600052,729525,Liaoning
Benxi,41.33038291,123.7500069,923933,Liaoning
Fushun,41.86538902,123.8699996,1435323,Liaoning
Jining,35.40040895,116.5500329,818163.5,Shandong
Weifang,36.7204059,119.1001098,973866,Shandong
Taian,36.19999839,117.1200756,1629000,Shandong
Heze,35.22998008,115.4500484,796301,Shandong
Laiyang,36.9684011,120.7084354,209797,Shandong
Xinyu,27.80002016,114.9299768,505240,Jiangxi
Ganzhou,25.91997988,114.9500272,1216134.5,Jiangxi
Jiujiang,29.72997988,115.9800419,545616,Jiangxi
Changzhou,31.77998395,119.9699792,1138009,Jiangsu
Zhenjiang,32.21998293,119.4300122,743276,Jiangsu
Nantong,32.0303821,120.8250175,806625.5,Jiangsu
Jiaxing,30.77040733,120.7499833,727050.5,Zhejiang
Huzhou,30.87037539,120.0999971,694660,Zhejiang
Shaoxing,30.00037681,120.5700459,599141.5,Zhejiang
Jinhua,29.12004295,119.6499987,617529,Zhejiang
Liaoyuan,42.89997703,125.1299743,485898.5,Jilin
Tumen,42.9699986,129.8200756,89220,Jilin
Siping,43.17001223,124.3300232,528811,Jilin
Baicheng,45.62001772,122.8200378,351915.5,Jilin
Wuhai,39.66469647,106.8122294,218427,Nei Mongol
Erenhot,43.66155845,111.9654549,19357,Nei Mongol
Jining,41.02998781,113.0800122,270236.5,Nei Mongol
Arxan,47.18330731,119.9666202,32023,Nei Mongol
Manzhouli,49.59998151,117.4299792,74214,Nei Mongol
Xilinhot,43.94433189,116.0443274,116156.5,Nei Mongol
Heihe,50.25001935,127.4460087,54923,Heilongjiang
Qitaihe,45.7999809,130.8500386,397825,Heilongjiang
Yichun,47.69994244,128.8999768,443111.5,Heilongjiang
